Benign	Tumour
0.3548482	1.147615
0.03208603	1.588100
0.6198378	0.9886507
0.002220511	2.417536
0.3606235	0.2657454
1.113491	4.426879
1.307941	9.213656
0.6396036	0.4146551
0.001022346	1.184533
0.1917072	1.680220
0.005226057	0.0101673
0.2918032	2.064461
0.2229661	5.101317
0.0644762	5.727402
0.133976	3.540133
0.1131804	1.545090
0.007438332	2.775813
0.7012496	2.201611
0.6010712	2.255754
0.3963319	3.146175
0.000817547	6.480146
0.01262161	6.057419
0.02006646	8.166855
0.4244356	0.4563471
0.4346164	0.8151333
0.1368049	0.1630343
0.000000	0.2714414
0.2534655	4.721733
0.1599844	0.3921536
0.3518951	0.0234535
0.5443826	22.286110
0.185982	11.573290
0.2279258	0.6652033
0.3288451	18.024800
0.9228472	2.482821
0.3872261	9.238340
0.8218884	1.585163
0.1505302	
0.000000	
0.2986928	
	
0.2224591	
0.2430496	
0.5051969	
0.1354807	
0.06000712	
0.07322477	
0.3220711	
0.171088	
0.04994676	
0.2137396	
0.2291756	
0.1957928	
0.0495442	
0.2481456	
0.1562837	
0.1032799	
0.06458522	
0.4121248	
0.1283092	
0.3667012	
0.06997818	
0.0358185	
0.466189	
0.01666657	
0.3703603	
0.2931479	
0.237419	
0.1195799	
0.1547318	
0.2078861	
0.1825977	
0.06278992	
0.1106575	
0.4198887	
0.000000	
0.2777307	
0.2344133	
0.1659287	
0.1294924	
0.06654024	
0.03156366	
0.02818301	
	
0.008917897	
	
	
0.04688255	
	
0.01717845	
0.1398382	
	
	
0.9242824	
1.778322	
0.000000	
0.5299212	
0.000000	
0.4574659	
1.021123	
1.298148	
3.915448	
0.5200472	
0.8012125	
1.430146	
3.303520	
1.612458	
2.895787	
2.607402	
0.000000	
0.435530	
2.989452	
4.937552	
3.544824	
31.257350	
0.6041765	
1.649335	
	
20.521170	
4.518196	
	
0.7921244	
1.635057	
1.435221	
	
1.371896	
16.037430	
0.5808602	
0.000000	
0.000000	
1.299944	
2.226803	
1.963675	
2.240802	
1.241819	
1.390662	
2.211470	
2.352840	
	
8.341075	
0.7956436	
0.4821008	
	
0.1936093	
0.2511478	
0.1475084	
0.1174269	
0.000000	
0.04030808	
0.1686211	
0.4026487	
0.3327744	
0.07589464	
1.072211	
4.300120	
0.725006	
0.3505981	
0.000000	
1.095836	
0.6338086	
2.276750	
0.3429412	
0.000000	
0.3248975	
0.4253653	
0.4447052	
0.000000	
	
0.286701	
0.5068545	
0.5098608	
0.08094274	
7.074976	
0.1967484	
0.1278665	
0.9514931	
0.1649621	
0.560213	
2.207924	
1.280471	
1.830551	
0.4499472	
1.321316	
0.2502028	
0.9588208	
2.240527	
2.148211	
0.000000	
0.07988477	
1.822373	
0.9949352	
1.069065	
	
0.1998765	
0.4410355	
0.5802525	
0.000000	
0.4794487	
0.2573116	
0.1013735	
0.07740439	
0.3448418	
0.3052796	
0.3122028	
0.2167494	
0.634176	
1.013558	
0.4575912	
0.000000	
0.393102	
0.2706757	
0.1350069	
0.000000	
0.5231115	
0.1867115	
0.2103123	
0.6277274	
	
	
0.1367423	
5.859543	
0.06638218	
0.215439	
2.656476	
0.7617171	
1.520243	
0.1692722	
	
0.3317285	
0.6686562	
1.737718	
0.268848	
0.5340027	
0.448298	
0.4999874	
4.116970	
0.220043	
0.1072861	
0.4722946	
0.1108371	
0.1316733	
0.4855394	
	
0.000000	
0.000000	
0.1509688	
0.423742	
0.06870244	
	
0.3987237	
0.4424626	
0.3403216	
0.4635008	
0.3032668	
0.6532435	
0.1429138	
0.1596985	
0.8256965	
0.3700303	
0.06986219	
0.1143114	
0.665175	
0.2767835	
0.2756758	
0.1291349	
0.3461005	
0.244651	
